"year";"lss.fit";"country"
1986;-0,675314448308396;"DEU"
1986;-0,245263114256419;"DNK"
1986;-0,833368037478208;"DNK"
1986;-1,9293052972998;"DNK"
1986;-0,38869526106299;"FRA"
1986;-0,0247794239784792;"FRA"
1986;-0,676060609913571;"FRA"
1986;0,00614065286400268;"GBR"
1986;0,178357420639832;"GBR"
1986;0,436615955099603;"GBR"
1986;-0,486080548534363;"GBR"
1986;-2,06754588276028;"GBR"
1986;0,658094391279351;"IRL"
1986;-0,0846464046599468;"IRL"
1986;0,195599650013114;"IRL"
1986;-0,0775682346678088;"NLD"
1986;0,377234651049356;"NLD"
1986;-0,833035948599176;"PRT"
1987;-0,704366668598139;"BEL"
1987;-0,180815398027875;"BEL"
1987;-1,53040682731423;"DEU"
1987;-1,26588228127432;"DEU"
1987;0,758257604717585;"DEU"
1987;-0,607834004949429;"DNK"
1987;0,283762148888218;"ESP"
1987;-0,416157818361665;"ESP"
1987;-0,908457753412625;"FRA"
1987;-0,133571757181033;"FRA"
1987;-0,79812271593934;"FRA"
1987;-1,39292027903095;"FRA"
1987;-0,693537332214472;"FRA"
1987;0,188599882450468;"FRA"
1987;-1,23206745065363;"GBR"
1987;-0,039262356941682;"GBR"
1987;-0,272679571236397;"GBR"
1987;-1,50693289459122;"GBR"
1987;-0,838826168421133;"GBR"
1987;-0,920109521467607;"GBR"
1987;0,314323021527291;"GBR"
1987;0,248379009907325;"GBR"
1987;-0,612479766786108;"GRC"
1987;-0,222033360923691;"ITA"
1987;0,0196472543480107;"ITA"
1987;-1,27462689282026;"ITA"
1987;-0,457408569298395;"ITA"
1987;0,330427415472751;"ITA"
1987;0,685444503376243;"NLD"
1988;-0,981420237926103;"DEU"
1988;-0,647399344434004;"DEU"
1988;0,00282546199806148;"DEU"
1988;-1,25788596748255;"DEU"
1988;-0,648083300948471;"DEU"
1988;0,0508804927894805;"DEU"
1988;-0,0881264052866194;"DNK"
1988;-0,342212233228079;"ESP"
1988;-0,68538828424264;"FRA"
1988;-1,04866066506712;"FRA"
1988;0,110048181277951;"FRA"
1988;-0,37090233666287;"FRA"
1988;0,532506217861516;"FRA"
1988;-0,793845751900238;"GBR"
1988;0,402615274225368;"GRC"
1988;0,298079689356512;"GRC"
1988;-1,88847454527553;"GRC"
1988;-0,0460119808824933;"GRC"
1988;-0,239881468948217;"IRL"
1988;0,522771378079033;"ITA"
1988;0,322764194463979;"ITA"
1988;0,756699359485614;"LUX"
1988;-1,11524052600247;"LUX"
1988;-0,712245947710799;"PRT"
1989;0,325983876100669;"DEU"
1989;-0,605869077725199;"DEU"
1989;0,845666220823555;"DEU"
1989;-0,0441165947744238;"DEU"
1989;0,449943822158188;"DEU"
1989;0,587584901489233;"FRA"
1989;0,706971514205968;"FRA"
1989;-0,0520051726098997;"GBR"
1989;-0,298552291299509;"GBR"
1989;-0,646908051514993;"GRC"
1989;0,632547958548106;"IRL"
1989;0,51669262858805;"IRL"
1989;0,347400664585034;"IRL"
1989;-0,337860082569262;"ITA"
